,Company Name,Industry,Headquarters
0,Spiezle Architectural Group,Construction,"Hamilton, NJ"
1,Ensinger,Miscellaneous Manufacturing,"Nufringen, Germany"
2,Primo Water,Food & Drink Manufacturing,"Winston-Salem, NC"
3,Innocean,Advertising & Marketing,"Seoul, South Korea"
4,HX5,Aerospace & Defence,"Fort Walton Beach, FL"
5,Daylesford Farmshop & Café,Food & Beverage Shops,"London, United Kingdom"
6,Smith & Wollensky,Up-Market Restaurant,"Boston, MA"
7,Whittlesey,Accounting,"Hartford, CT"
8,Citroën,Transport Equipment Manufacturing,"Paris, France"
9,Agile Property,Construction,"Zhongshan, China"
10,Betenbough Homes,Estate Agent,"Lubbock, TX"
11,GDS Group,Research & Development,"Bristol, United Kingdom"
12,Amfine Chemical,Research & Development,"Hasbrouck Heights, NJ"
13,TreeHouse,Home Centres & Hardware/DIY Shops,"Austin, TX"
14,GovNet,Publishing,"London, United Kingdom"
15,Southern Asphalt,Construction,"Conway, SC"
16,Thomas Concrete,Metal & Mineral Manufacturing,"Atlanta, GA"
17,Neo Derm,Consumer Products Manufacturing,"Hong Kong, Hong Kong"
18,Harris Federation,Primary or Secondary Education,"Croydon, United Kingdom"
19,Maestri-Murrell Commercial Real Estate,Estate Agent,"Baton Rouge, LA"
20,Benetech,Internet,"Palo Alto, CA"
21,Architectural Products of Virginia,Miscellaneous Manufacturing,"Ashland, VA"
22,Cockram Construction,Biotech & Pharmaceutical,"Kalamazoo, MI"
23,Zahm & Nagel,Electrical & Electronic Manufacturing,"Holland, NY"
24,TRIGANO,Transport Equipment Manufacturing,"Paris, France"
25,Standley Systems,Wholesale,"Chickasha, OK"
26,MJS,IT Service,"Nairobi, Kenya"
27,Southern Arkansas University,Colleges & Universities,"Magnolia, AR"
28,Malcolm Drilling,Architectural & Engineering Service,"San Francisco, CA"
29,JB Boda & Company,Insurance Operator,"Mumbai, India"
30,DFI Retail Group,Grocery Shops & Supermarket,"Quarry Bay, Hong Kong"
31,General Insulation,Industrial Manufacturing,"Medford, MA"
32,Worldwide Logistics,Removal Service,"Paramus, NJ"
33,Ghilotti Bros,Construction,"San Rafael, CA"
34,HUBER + SUHNER,Metal & Mineral Manufacturing,"Herisau, Switzerland"
35,Kenneth Copeland Ministries,Religious Organisations,"Fort Worth, TX"
36,Kenneth Copeland Ministries,Religious Organisations,"Fort Worth, TX"
37,Trevor Sorbie International,"Health, Beauty & Fitness","Covent Garden, United Kingdom"
38,Bentek,Miscellaneous Manufacturing,"San Jose, CA"
39,Cardinal Logistics Management,Logistics & Supply Chain,"Concord, NC"
40,RMD Kwikform,Consulting,"Walsall, United Kingdom"
41,Kenneth Copeland Ministries,Religious Organisations,"Fort Worth, TX"
42,CMC Consulting (UK),Staffing & Outsourcing,"Saint Albans, United Kingdom"
43,World Logistics Group,Logistics & Supply Chain,"Woodstock, GA"
44,The Lee Company,Industrial Manufacturing,"Westbrook, CT"
45,Richardson,Consulting,"Philadelphia, PA"
46,Gaming Partners International,Industrial Manufacturing,"North Las Vegas, NV"
47,Matson,Shipping,"Honolulu, HI"
48,Arapahoe Libraries,Regional Agencies,"Englewood, CO"
49,Braskem,Chemical Manufacturing,"São Paulo, Brazil"
50,New Chapter Consulting,Staffing & Outsourcing,"Leeds, United Kingdom"
51,Donald Russell,Food & Beverage Shops,"Harrow, United Kingdom"
52,Meinhardt Singapore,Accounting,"Singapore, Singapore"
53,Agrosuper,Food & Drink Manufacturing,"Rancagua, Chile"
54,Amicorp,Investment Banking & Asset Management,"Bangalore, India"
55,Elsa,Industrial Manufacturing,"Elwood, IN"
56,Eurecat U S Incorporated,Chemical Manufacturing,
57,ODLO,Consumer Products Manufacturing,"Hünenberg, Switzerland"
58,ADIF,Transportation Management,"Madrid, Spain"
59,Genesis Products,Wood Product Manufacturing,"Elkhart, IN"
60,Duncan Enterprises,Miscellaneous Manufacturing,"Fresno, CA"
61,Silvaris,"Department, Clothing, & Shoe Shops","Mercer Island, WA"
62,Lion,Food & Drink Manufacturing,"Sydney, Australia"
63,Law Asia,Legal,"Singapore, Singapore"
64,Snaptron,Electrical & Electronic Manufacturing,"Windsor, CO"
65,Armour & Associates,Staffing & Outsourcing,"Meridian, ID"
66,Parkway Pantai,Healthcare Services & Hospital,"Singapore, Singapore"
67,The Cactus Group,Security Service,"Brooks, Canada"
68,Accvisory,Accounting,"Singapore, Singapore"
69,National Eating Disorders Association,Social Services,"Seattle, 061"
70,Burhani Engineers,Architectural & Engineering Service,"Nairobi, Kenya"
71,Jamaica National Building Society,Lending,"Kingston, Jamaica"
72,Tire-Rama,Motor Vehicle Parts & Accessories Shops,"Billings, MT"
73,VP Supply,Wholesale,"Rochester, NY"
