,Companies,Industries
0,Spiezle Architectural Group Inc.,
1,ensingerplastics.com,
2,South Carolina Legal Services breach,
3,lstaff.com / atworksprofessional / atworks.com,
4,Primo Water,
5,inocean.no / 2000 GB,
6,"Hx5, LLC",
7,Daylesford - BHoldings - Bamford - The Wild Rabbit,
8,KASEYA ATTACK INFO,
9,kuk.de / KREBS + KIEFER / 500GB,
10,neroindustry.com,
11,Masmovil ibercom SA revenue 1.99 billion $,
12,Vic Pharma Industry and Trade Ltd.,
13,CYMZ ,
14,Asfaltproductienijmegen,
15,University Medical Center of Southern Nevada,
16," Transform SR Brands, LLC",
17,Malcolm C Foy & Co Limited,
18,Trasporti Internazionali Transmec s.p.a.,
19,"The Smith & Wollensky Restaurant Group, Inc.",
20,French Connection,
21,Dicky Smith & Co Inc,
22,HAAI GmbH,
23,Moore Stephens Cape Town,
24,Feedback Technology Corp.,
25,Whittlesey & Hadley,
26,  WestCongress Insurance Services LLC,
27,Obama's friend is a dirty pervert,
28,Big data breach from Arnoff Moving & Storage,
29,Big data breach from ESD Dienstleistungs Gruppe,
30,"Law Offices of Michael B. Brehne, P.A",
31,Aspire/SOL/Willson/Sjk/Tendriade,
32,Royal Resorts,
33,Citroen Wells,
34,Möbelstadt Sommerlad,
35,Agile Property Holdings,
36,angstrom automotive group,
37,"Iaffaldano, Shaw & Young LLP",
38, ENPOL LLC,
39,CEC Vibration Products,
40,Betenbough Homes,
41,"Allen, Dyer, Doppelt, & Gilchrist, P.A.",
42,Apex America,
43,GDS Gesellschaft für Datenverarbeitungssysteme ,
44,Thackray Williams LLP Solicitors,
45,Peter Müller GARTENGESTALTUNG GmbH,
46,KEYENCE DEUTSCHLAND GmbH,
47,Lydall Inc.,
48,ASARCO LLC,
49,Amfine Chemical Corporation ,
50,https://galoninsurance.ca/,
51,JHK Legal,
52,Treehouse hotels,
53,Kajima corp,
54,Habia Cable,
55,govnet of fiji,
56,mipharm.it,
57,SOUTHERN ASPHALT,
58,Thomas Concrete Group,
59,PB Swiss Tools,
60,boulos.com,
61,Premi Beauty Industries,
62,Oré Peinture,
63,Fonds Finanz,
64,"EMC, Electric Motor and Contracting Co., Inc",
65,Call Assist Ltd,
66,Harold Marcus Ltd.,
67,"ReppertFactor, LLC.",
68,Universal Group Inc.,
69,RHA Health Service,
70,NEO DERM GROUP LTD,
71,Pierre Fabre Group,
72,Fultz Maddox Dickens,
73,"Heartland Automotive, LLC",
74,Honeywell International Inc.,
75,Harris Federation,
76,Varner & Brandt LLP,
77,Tata Steel GROUP,
78,Tristate Midstream,
79,"NorthWest , Insuranse Services",
80,Maestri Murrell Commercial Real Estate,
81,E. & J. Gallo Winery,
82,"Benetech, Inc.",
83,MBA Group LTD,
84,cockram2,
85,Architectural Products of Virginia (apva.com),
86,"Xchange Telecom - Brooklyn, NY - Inc.",
87,Brownstein Rask LLP,
88,Summit Credit Union BIG data breach,
89,Milsoft Utility Solutions Inc big data breach,
90,Acer Inc.,
91,cockram,
92, Reno & Zahm LLP,
93,Banco Inmobiliario Mexicano,
94,"TRIGANO, EUROPE’S NUMBER ONE FOR TRAILERS",
95,"Blazona Concrete Construction, Inc",
96," Ottawa, Kansas Cooperative Association",
97,Union Bank of Nigeria,
98,"Wallin Hester, PLC",
99,Standley Systems (standleys.com),
100,MJS Packaging Inc (mjspackaging.com),
101,RS Hughes Co Inc,
102,Southern Arkansas University,
103,D.M. BARONE SPA,
104,"Malcolm Drilling Company, Inc.",
105,J & B Distributing Co.,
106,Dailry Farm $30 billion revenue,
107,"SHELLY & SANDS, INC.",
108,Resort Lifestyle Communities - DATA UPLOADED (2/5),
109,Jacobs Vanaman Agency Insurance,
110,"SOUTHERN CONCRETE & CONSTRUCTION, INC.",
111, General Insulation - DATA UPLOADED (2/5),
112," Reese , Pyle , Drake & Meyer , P.L.L",
113,UCAR.FR,
114,weilandlogistics.com,
115,Ghilotti Bros. Inc  ,
116,Preferred Home Care,
117,HUBER+SUHNER,
118,Ficosa,
119,axiomstone.co.uk ,
120,PROOFS FOR KENNETH COPELAND,
121,#PRESS RELEASE 2 - Kenneth Copeland,
122,Trevor Sorbie,
123,Bentek ,
124, Cardinal Logistics,
125,FDR & CP SERVICES,
126,RMD Kwikform - 1b Revenue,
127,HEKEMIAN,
128,https://local881ufcw.org/,
129,fm-advogados.com.br,
130,ctag.com,
131,argentina.gob.ar,
132,#PRESS RELEASE: Kenneth Copeland,
133,Darby Group,
134,nexiamelbourne.com.au,
135,ILG.COM.AU,
136, CMC Consulting,
137,WORLD LOGISTICS USA INC,
138,"Beacon Health Solutions, LLC (UPDATE 06/11/2020)",
139,TheLeeco,
140,Richardson,
141,New Jersey Dental Hygienists' Association,
142,GPIGAMING.COM,
143,Hartz Mountain Industries,
144,ANSA McAL Update#1,
145,www.matson.com,
146,Arapahoe Libraries Revenue $50 million,
147,"SHIONOGI & CO., LTD Revenue  $3.01 billion  ",
148,www.braskem.com.br,
149,Chesters International 100 GB,
150,ANSA McAL,
151,UMI1 (02.11.2020 update),
152,ESII,
153,HERITAGE RECOURCE MANAGMENT LLC,
154,JCI Industries,
155,Deltrol 450 GB,
156,MARTIN,
157,MORRIS PETROLEUM Inc.,
158,"$5,5M Vard Group AS Fraudulent Recovery with Revil",
159,NWLIC New chapter,
160,High Mark Real Estate,
161,"Russell,Kraft&Gruber",
162,Synsam Group AB revenue $366 million,
163,taylorfarms.com,
164,BROWN FORMAN CORPOTAION PART 2,
165,National (?) Western Life,
166,MEINHARDT - 2 Billions revenue,
167,"DXP Enterprises, Inc. | DXPE NASDAQ  $19.02",
168,taylorfarms.com,
169,Sampoerna Agro,
170,Agrosuper,
171,eurecat.com and     4datanet.com,
172,Amicorp Group,
173,National Western Life,
174,Elsa LLC,
175,National western life,
176,eurecat.com,
177,quest-worldwide.com,
178,BROWN-FORMAN CORPORATION,
179,australian company ARAFMI,
180,4datanet.com,
181,malabs.com,
182,VIVA RESORTS,
183,Schramm Inc.,
184,CAT RICAMBI SRL Italy car sale company,
185,allison,
186,HAKUYOHIN,
187,Brown Automotive Group Ltd,
188,COTTONWOOD FINANCIAL INC,
189,Actuaries and Associates Part 3,
190,ODLO International AG,
191,Actuaries and Associates Part 2,
192,Adif (adif.es),
193,Genesis Products Inc.,
194,Actuaries and Associates Part 1,
195,Duncan Co (www.duncanco.com) Part 1,
196,MAN België,
197,FGXI,
198,Silvaris,
199,chempack.com.au,
200,www.lionco.com,
201,For press and public #4 (Lawyer case),
202,SPEC Inc,
203,Snaptron Inc,
204,GOODMANMINTZ (updated),
205,Hustech Installations AG hustech.ch ,
206,Strategic Sites,
207,Symbotic LLC Data leak,
208,Universal Logistics Holdings,
209,Scalepeople,
210,Alaska General Seafoods & Leader Creek Fisheries,
211,Symbotic LLC,
212,Plaza Collection LTD,
213,New feature: Auction,
214,Agromart Group,
215,Wartman Law Firm,
216,Armour & Associates,
217,Fraser Wheeler & Courtney LLP,
218,CENTROID. Top Oracle Cloud Consulting Experts,
219,Vierra Magen Marcus LLP,
220,Plasmaterials Inc,
221,For press #3 (Lawyer case),
222,For the press #2 and Trump.,
223,insport.com.au,
224,For press #1,
225,Sherwood Food & Harvest Distributors,
226,athrone.com,
227,Patten & Prentice patten.co.uk,
228,Groupe Cactus,
229,M J Payne Ltd,
230,TO Engineers,
231,CINCINNATI CAPITAL CORPORATION,
232,ASCENT Network,
233,www.atlascars.com,
234,HYMAN GROUP COMPANIES,
235,www.cablex-group.com,
236,NEDA USA,
237,ehalc.com,
238,CivicSmart (ex Duncan Technologies),
239,Geidi.com clients data,
240,BURHANIGLASS.AE,
241,jnbs,
242,Brooks International,
243,tirerama.com,
244,VP Supply Corp,
245,Kenneth Cole Productions,
246,SoftwareOne.com,
